ilce_adi,mahalle_adi,mahalle_adi,mahalle_koy_uavt,display_name,address,latitude,longitude,estimated_population_mahalle,structural_fragility_score,risk_score,risk_category,1980_oncesi,1980-2000_arasi,2000_sonrasi,1-4 kat_arasi,5-9 kat_arasi,9-19 kat_arasi,cok_agir_hasarli_bina_sayisi,agir_hasarli_bina_sayisi,can_kaybi_sayisi,agir_yarali_sayisi,hastanede_tedavi_sayisi,gecici_barinma,dogalgaz_boru_hasari,icme_suyu_boru_hasari,atik_su_boru_hasari,total_buildings_mahalle
besiktas,Levazım Mahallesi,LEVAZIM,40226.0,"Levazım Mahallesi, İstanbul, Marmara Bölgesi, 3430, Türkiye","{""suburb"": ""Levazım Mahallesi"", ""province"": ""İstanbul"", ""region"": ""Marmara Bölgesi"", ""postcode"": ""3430"", ""country"": ""Türkiye"", ""country_code"": ""tr""}",41.06255356377968,29.01934650686972,2294,82.5,0.0,NOT ENOUGH DATA,38.0,118.0,64.0,59.0,148.0,13.0,0.0,1.0,0.0,0.0,1.0,74.0,0.0,0.0,0.0,220.0
besiktas,Mecidiye Mahallesi,MECÝDÝYE,40224.0,"Mecidiye Mahallesi, Beşiktaş, İstanbul, Marmara Bölgesi, 00034, Türkiye","{""suburb"": ""Mecidiye Mahallesi"", ""town"": ""Beşiktaş"", ""province"": ""İstanbul"", ""region"": ""Marmara Bölgesi"", ""postcode"": ""00034"", ""country"": ""Türkiye"", ""country_code"": ""tr""}",41.05250904142738,29.01918743333222,11285,668.8,0.0256,MEDIUM,546.0,320.0,216.0,673.0,409.0,0.0,11.0,32.0,6.0,4.0,17.0,525.0,0.0,0.0,0.0,1082.0
besiktas,Nispetiye Mahallesi,NÝSBETÝYE,40230.0,"Nispetiye Mahallesi, Beşiktaş, İstanbul, Marmara Bölgesi, 34337, Türkiye","{""suburb"": ""Nispetiye Mahallesi"", ""town"": ""Beşiktaş"", ""province"": ""İstanbul"", ""region"": ""Marmara Bölgesi"", ""postcode"": ""34337"", ""country"": ""Türkiye"", ""country_code"": ""tr""}",41.07175375913505,29.022331533558507,6111,301.6,0.0015,LOW,201.0,271.0,114.0,123.0,426.0,37.0,1.0,2.0,0.0,0.0,2.0,143.0,0.0,0.0,0.0,586.0
besiktas,Ortaköy Mahallesi,ORTAKÖY,40225.0,"Ortaköy Mahallesi, İstanbul, Marmara Bölgesi, Türkiye","{""suburb"": ""Ortaköy Mahallesi"", ""province"": ""İstanbul"", ""region"": ""Marmara Bölgesi"", ""country"": ""Türkiye"", ""country_code"": ""tr""}",41.054589280475106,29.027706180702545,10753,583.8,0.0217,MEDIUM,474.0,273.0,284.0,727.0,303.0,1.0,7.0,20.0,2.0,2.0,9.0,366.0,0.0,0.0,1.0,1031.0
besiktas,Ulus Mahallesi,ULUS,40227.0,"Ulus Mahallesi, İstanbul, Marmara Bölgesi, Türkiye","{""city"": ""Ulus Mahallesi"", ""province"": ""İstanbul"", ""region"": ""Marmara Bölgesi"", ""country"": ""Türkiye"", ""country_code"": ""tr""}",41.0644996971597,29.02691370920296,5110,234.4,0.0015,LOW,130.0,288.0,72.0,256.0,234.0,0.0,1.0,3.0,0.0,0.0,1.0,125.0,0.0,0.0,0.0,490.0
besiktas,Yıldız Mahallesi,YILDIZ,40220.0,"Yıldız Mahallesi, Beşiktaş, İstanbul, Marmara Bölgesi, Türkiye","{""suburb"": ""Yıldız Mahallesi"", ""town"": ""Beşiktaş"", ""province"": ""İstanbul"", ""region"": ""Marmara Bölgesi"", ""country"": ""Türkiye"", ""country_code"": ""tr""}",41.04798574358932,29.01447228426879,7071,357.6,0.0244,MEDIUM,270.0,224.0,184.0,375.0,295.0,8.0,4.0,11.0,1.0,0.0,4.0,169.0,1.0,0.0,1.0,678.0
besiktas,Muradiye Mahallesi,MURADÝYE,40216.0,"Muradiye Mahallesi, İstanbul, Marmara Bölgesi, Türkiye","{""city"": ""Muradiye Mahallesi"", ""province"": ""İstanbul"", ""region"": ""Marmara Bölgesi"", ""country"": ""Türkiye"", ""country_code"": ""tr""}",41.04805232402363,28.998994025168994,3274,191.4,0.0067,LOW,141.0,139.0,34.0,15.0,293.0,6.0,1.0,2.0,1.0,0.0,3.0,69.0,0.0,0.0,0.0,314.0
besiktas,Abbasağa Mahallesi,ABBASAÐA,40219.0,"Abbasağa Mahallesi, İstanbul, Marmara Bölgesi, Türkiye","{""suburb"": ""Abbasağa Mahallesi"", ""province"": ""İstanbul"", ""region"": ""Marmara Bölgesi"", ""country"": ""Türkiye"", ""country_code"": ""tr""}",41.049590486896655,29.005155195140404,5079,281.2,0.0064,LOW,217.0,169.0,101.0,166.0,319.0,2.0,2.0,6.0,1.0,1.0,4.0,136.0,0.0,0.0,0.0,487.0
besiktas,Dikilitaş Mahallesi,DÝKÝLÝTAÞ,40221.0,"Dikilitaş Mahallesi, İstanbul, Marmara Bölgesi, 34349, Türkiye","{""city"": ""Dikilitaş Mahallesi"", ""province"": ""İstanbul"", ""region"": ""Marmara Bölgesi"", ""postcode"": ""34349"", ""country"": ""Türkiye"", ""country_code"": ""tr""}",41.05538936810681,29.004872793082978,7311,381.6,0.0077,LOW,288.0,243.0,170.0,113.0,529.0,59.0,2.0,4.0,2.0,1.0,7.0,207.0,0.0,0.0,0.0,701.0
besiktas,Türkali Mahallesi,TÜRKALÝ,40218.0,"Türkali Mahallesi, Beşiktaş, İstanbul, Marmara Bölgesi, 34357, Türkiye","{""suburb"": ""Türkali Mahallesi"", ""town"": ""Beşiktaş"", ""province"": ""İstanbul"", ""region"": ""Marmara Bölgesi"", ""postcode"": ""34357"", ""country"": ""Türkiye"", ""country_code"": ""tr""}",41.047201763239,29.002421909396254,7394,474.3,0.0183,MEDIUM,395.0,212.0,102.0,190.0,512.0,7.0,6.0,14.0,4.0,2.0,10.0,333.0,0.0,0.0,0.0,709.0
besiktas,Cihannüma Mahallesi,CÝHANNÜMA,40217.0,"Cihannüma Mahallesi, Beşiktaş, İstanbul, Marmara Bölgesi, 34022, Türkiye","{""suburb"": ""Cihannüma Mahallesi"", ""town"": ""Beşiktaş"", ""province"": ""İstanbul"", ""region"": ""Marmara Bölgesi"", ""postcode"": ""34022"", ""country"": ""Türkiye"", ""country_code"": ""tr""}",41.04675576308539,29.00798893803402,4568,262.8,0.012,MEDIUM,209.0,141.0,88.0,173.0,260.0,5.0,3.0,7.0,2.0,1.0,5.0,119.0,0.0,0.0,0.0,438.0
besiktas,Sinanpaşa Mahallesi,SÝNANPAÞA,40215.0,"Sinanpaşa Mahallesi, İstanbul, Marmara Bölgesi, Türkiye","{""city"": ""Sinanpaşa Mahallesi"", ""province"": ""İstanbul"", ""region"": ""Marmara Bölgesi"", ""country"": ""Türkiye"", ""country_code"": ""tr""}",41.04276360640148,29.00487107782664,5454,261.8,0.0246,MEDIUM,189.0,187.0,147.0,289.0,233.0,1.0,8.0,18.0,4.0,2.0,10.0,147.0,0.0,0.0,0.0,523.0
besiktas,Vişnezade Mahallesi,VÝÞNEZADE,40214.0,"Vişnezade Mahallesi, Beşiktaş, İstanbul, Marmara Bölgesi, 35357, Türkiye","{""suburb"": ""Vişnezade Mahallesi"", ""town"": ""Beşiktaş"", ""province"": ""İstanbul"", ""region"": ""Marmara Bölgesi"", ""postcode"": ""35357"", ""country"": ""Türkiye"", ""country_code"": ""tr""}",41.04150654546791,28.998643178267518,7019,356.8,0.0259,MEDIUM,254.0,273.0,146.0,338.0,317.0,18.0,5.0,13.0,1.0,0.0,4.0,214.0,0.0,1.0,1.0,673.0
